Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,7664632,,,,7664632,,4461723,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,0,World,WLD,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,325009917,,,,325009917,,223917392,,,0
H1,2002,2002,2002,4,0,4,Re-Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1120777,,,,1120777,,632308,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,8,Albania,ALB,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,72000,,,,72000,,65034,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,12,Algeria,DZA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,3189800,,,,3189800,,1537443,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,144000,,,,144000,,74916,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,5619,,,,5619,,10688,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1464647,,,,1464647,,1236237,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,50,Bangladesh,BGD,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,25000,,,,25000,,5000,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,51,Armenia,ARM,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,36000,,,,36000,,19440,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,56,Belgium,BEL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,8383485,,,,8383485,,4514634,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,68,Bolivia (Plurinational State of),BOL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,18000,,,,18000,,7560,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,252225,,,,252225,,542659,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,40000,,,,40000,,14000,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,96,Brunei Darussalam,BRN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,17452,,,,17452,,32502,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,100,Bulgaria,BGR,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,7081310,,,,7081310,,3557807,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,116,Cambodia,KHM,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,343,,,,343,,1385,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,120,Cameroon,CMR,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,18000,,,,18000,,10350,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1202491,,,,1202491,,1511293,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,152,Chile,CHL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,15000,,,,15000,,13500,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,51848,,,,51848,,54372,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,542036,,,,542036,,334599,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,170,Colombia,COL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,19085,,,,19085,,36566,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,188,Costa Rica,CRI,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,135000,,,,135000,,55123,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,203,Czechia,CZE,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1234500,,,,1234500,,456623,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,208,Denmark,DNK,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1580379,,,,1580379,,1055526,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,233,Estonia,EST,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1221600,,,,1221600,,378410,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,238,Falkland Isds (Malvinas),FLK,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,113056,,,,113056,,69861,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,239,South Georgia and the South Sandwich Islands,SGS,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,24200,,,,24200,,48625,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,246,Finland,FIN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,5400,,,,5400,,65835,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,251,France,FRA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,6120,,,,6120,,11208,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,251,France,FRA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,3827051,,,,3827051,,1710652,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,258,French Polynesia,PYF,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,207900,,,,207900,,93555,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,268,Georgia,GEO,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,4848772,,,,4848772,,2361986,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,73038,,,,73038,,24522,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,53562750,,,,53562750,,28862423,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,250,,,,250,,152,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1997700,,,,1997700,,1057797,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,344,"China, Hong Kong SAR",HKG,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1083292,,,,1083292,,1151004,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,348,Hungary,HUN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,906000,,,,906000,,333894,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,352,Iceland,ISL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,6000,,,,6000,,12480,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,360,Indonesia,IDN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1120777,,,,1120777,,632308,,,0
H1,2002,2002,2002,4,0,4,Re-Import,360,Indonesia,IDN,360,Indonesia,IDN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1120777,,,,1120777,,632308,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,364,Iran,IRN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,1890000,,,,1890000,,1050230,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,372,Ireland,IRL,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,162000,,,,162000,,293400,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,381,Italy,ITA,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,15011183,,,,15011183,,8950434,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,173065,,,,173065,,124205,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,56879307,,,,56879307,,48374994,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,400,Jordan,JOR,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,153584,,,,153584,,67285,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,404,Kenya,KEN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,205200,,,,205200,,61560,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,404,Kenya,KEN,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,55200,,,,55200,,39192,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,5035,,,,5035,,5095,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,410,Rep. of Korea,KOR,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,15267044,,,,15267044,,7307077,,,0
H1,2002,2002,2002,4,0,2,Export,360,Indonesia,IDN,414,Kuwait,KWT,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,17000,,,,17000,,14875,,,0
H1,2002,2002,2002,4,0,1,Import,360,Indonesia,IDN,418,Lao People's Dem. Rep.,LAO,,,,,,,,0901,"Coffee, coffee husks and skins and coffee substitutes",8,Weight in kilograms,282000,,,,282000,,121806,,,0
